USSWAP2 Curncy,,,USSWAP3 Curncy,,,USSWAP5 Curncy,,,USSWAP7 Curncy,,,USSWAP10 Curncy,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
6/30/2011,0.701,,6/30/2011,1.1465,,6/30/2011,2.034,,6/30/2011,2.685,,6/30/2011,3.279
7/29/2011,0.591,,7/29/2011,0.8565,,7/29/2011,1.624,,7/29/2011,2.293,,7/29/2011,2.9255
8/31/2011,0.492,,8/31/2011,0.649,,8/31/2011,1.2745,,8/31/2011,1.84,,8/31/2011,2.402
9/30/2011,0.578,,9/30/2011,0.7361,,9/30/2011,1.2555,,9/30/2011,1.698,,9/30/2011,2.1075
10/31/2011,0.564,,10/31/2011,0.709,,10/31/2011,1.274,,10/31/2011,1.8013,,10/31/2011,2.284
11/30/2011,0.667,,11/30/2011,0.8091,,11/30/2011,1.3118,,11/30/2011,1.7905,,11/30/2011,2.217
12/30/2011,0.726,,12/30/2011,0.8204,,12/30/2011,1.2245,,12/30/2011,1.6431,,12/30/2011,2.027
1/31/2012,0.5125,,1/31/2012,0.5905,,1/31/2012,0.988,,1/31/2012,1.449,,1/31/2012,1.915
2/29/2012,0.555,,2/29/2012,0.6676,,2/29/2012,1.1108,,2/29/2012,1.582,,2/29/2012,2.062
3/30/2012,0.5815,,3/30/2012,0.758,,3/30/2012,1.272,,3/30/2012,1.779,,3/30/2012,2.287
4/30/2012,0.547,,4/30/2012,0.6635,,4/30/2012,1.088,,4/30/2012,1.553,,4/30/2012,2.0485
5/31/2012,0.6265,,5/31/2012,0.686,,5/31/2012,0.9995,,5/31/2012,1.3515,,5/31/2012,1.729
6/29/2012,0.549,,6/29/2012,0.624,,6/29/2012,0.965,,6/29/2012,1.3495,,6/29/2012,1.779
7/31/2012,0.415,,7/31/2012,0.473,,7/31/2012,0.7915,,7/31/2012,1.161,,7/31/2012,1.5885
8/31/2012,0.401,,8/31/2012,0.4626,,8/31/2012,0.773,,8/31/2012,1.1716,,8/31/2012,1.6595
9/28/2012,0.3665,,9/28/2012,0.439,,9/28/2012,0.764,,9/28/2012,1.189,,9/28/2012,1.7035
10/31/2012,0.3945,,10/31/2012,0.4841,,10/31/2012,0.826,,10/31/2012,1.239,,10/31/2012,1.7375
11/30/2012,0.3705,,11/30/2012,0.4399,,11/30/2012,0.753,,11/30/2012,1.1535,,11/30/2012,1.6648
12/31/2012,0.392,,12/31/2012,0.501,,12/31/2012,0.8645,,12/31/2012,1.309,,12/31/2012,1.8395
1/31/2013,0.434,,1/31/2013,0.5785,,1/31/2013,1.03,,1/31/2013,1.502,,1/31/2013,2.063
2/28/2013,0.3824,,2/28/2013,0.5,,2/28/2013,0.9238,,2/28/2013,1.408,,2/28/2013,1.9669
3/29/2013,0.4165,,3/29/2013,0.54,,3/29/2013,0.948,,3/29/2013,1.441,,3/29/2013,2.007
4/30/2013,0.3484,,4/30/2013,0.4532,,4/30/2013,0.836,,4/30/2013,1.2993,,4/30/2013,1.848
5/31/2013,0.4585,,5/31/2013,0.6565,,5/31/2013,1.2057,,5/31/2013,1.7342,,5/31/2013,2.3042
6/28/2013,0.51,,6/28/2013,0.8178,,6/28/2013,1.566,,6/28/2013,2.1454,,6/28/2013,2.697
7/31/2013,0.4775,,7/31/2013,0.769,,7/31/2013,1.5525,,7/31/2013,2.1815,,7/31/2013,2.7695
8/30/2013,0.5664,,8/30/2013,0.9706,,8/30/2013,1.8075,,8/30/2013,2.426,,8/30/2013,2.981
9/30/2013,0.46,,9/30/2013,0.763,,9/30/2013,1.537,,9/30/2013,2.163,,9/30/2013,2.765
10/31/2013,0.4255,,10/31/2013,0.698,,10/31/2013,1.4648,,10/31/2013,2.0945,,10/31/2013,2.6995
11/29/2013,0.378,,11/29/2013,0.652,,11/29/2013,1.474,,11/29/2013,2.165,,11/29/2013,2.823
12/31/2013,0.489,,12/31/2013,0.8755,,12/31/2013,1.786,,12/31/2013,2.4815,,12/31/2013,3.086
1/31/2014,0.459,,1/31/2014,0.8183,,1/31/2014,1.607,,1/31/2014,2.2185,,1/31/2014,2.7855
2/28/2014,0.45,,2/28/2014,0.813,,2/28/2014,1.6015,,2/28/2014,2.2005,,2/28/2014,2.761
3/31/2014,0.545,,3/31/2014,0.9918,,3/31/2014,1.8025,,3/31/2014,2.3555,,3/31/2014,2.842
4/30/2014,0.531,,4/30/2014,0.973,,4/30/2014,1.757,,4/30/2014,2.2825,,4/30/2014,2.754
5/30/2014,0.5132,,5/30/2014,0.9106,,5/30/2014,1.6205,,5/30/2014,2.119,,5/30/2014,2.588
6/30/2014,0.5825,,6/30/2014,0.998,,6/30/2014,1.7018,,6/30/2014,2.1803,,6/30/2014,2.6308
7/31/2014,0.729,,7/31/2014,1.197,,7/31/2014,1.8842,,7/31/2014,2.306,,7/31/2014,2.6973
8/29/2014,0.7135,,8/29/2014,1.1545,,8/29/2014,1.775,,8/29/2014,2.1455,,8/29/2014,2.498
9/30/2014,0.8185,,9/30/2014,1.295,,9/30/2014,1.9329,,9/30/2014,2.3033,,9/30/2014,2.639
10/31/2014,0.7068,,10/31/2014,1.1373,,10/31/2014,1.7565,,10/31/2014,2.1355,,10/31/2014,2.481
